Comune;Provincia;Regione;Tipologia;Categoria;Denominazione;Indirizzo;CAP;Località;Frazione;Telefono;FAX;Indirizzo posta elettronica;Sito internet;Codice esercizio;Camere;Posti letto standard;Posti letto aggiuntivi;18;1]                                                                              ##
BORDIGHERA;IMPERIA;Liguria;Alberghi;3STELLE;GOLD HOTEL;VIA CESARE BALBO, 7;18012;BORDIGHERA;;0184 267443;0184 711183;info@goldhotelbordighera.it;www.bordigheragoldhotel .com;IM80;14;25;4;12;1]                                                                                                         ##
BORDIGHERA;IMPERIA;Liguria;Alberghi;3STELLE;LA SCOGLIERA;VIA GENERALE CANTORE, 17;18012;BORDIGHERA;;0184 260910;;info@hotellascogliera.eu;;IM87;12;21;0;17;1]                                                                                                                                            ##
BORDIGHERA;IMPERIA;Liguria;Alberghi;3STELLE;LORA;VIA DEI BAGNI, 1;18012;BORDIGHERA;ARZIGLIA;0184 262324;0184 999199;info@albergolora.it;http://www.albergolora.it;IM102;8;16;2;17;1]                                                                                                                     ##
BORDIGHERA;IMPERIA;Liguria;Alberghi;3STELLE;LUCCIOLA;VIA REGINA MARGHERITA, 49;18012;BORDIGHERA;;0184 266651;0184 266651;info@lucciolahotelbordighera.it;http://www.luxorhotel.eu;IM499;14;24;0;18;1]                                                                                                    ##
BORDIGHERA;IMPERIA;Liguria;Alberghi;3STELLE;MAR LIGURE;VIA AURELIA, 22;18012;BORDIGHERA;;0184 295953;0184 299940;info@hotelmarligure.it;http://www.hotelmarligure.it;2002154;39;78;0;20;1]                                                                                                               ##
BORDIGHERA;IMPERIA;Liguria;Alberghi;3STELLE;PICCOLO LIDO;LUNGOMARE ARGENTINA, 2;18012;BORDIGHERA;;0184 261297;0184 262316;info@hotelpiccololido.it;http://www.hotelpiccololido.it;IM81;33;66;0;16;1]                                                                                                     ##
BORDIGHERA;IMPERIA;Liguria;Alberghi;3STELLE;VILLA ELISA;VIA ROMANA, 70;18012;BORDIGHERA;;0184 261313;0184 261942;info@villaelisa.com;http://www.villaelisa.com;IM84;31;66;2;17;1]                                                                                                                        ##
BORDIGHERA;IMPERIA;Liguria;Alberghi;4STELLE;PARIGI;LUNGOMARE ARGENTINA, 16/18;18012;BORDIGHERA;;0184 261405;0184 260421;direzione@hotelparigi.com;http://www.hotelparigi.com;IM78;55;102;6;18;1]                                                                                                         ##
BORDIGHERA;IMPERIA;Liguria;Alberghi;5STELLE;GRAND HOTEL DEL MARE RESORT & SPA;VIA PORTICO DELLA PUNTA, 34;18012;BORDIGHERA;;0184 262201;0184 262394;amministrazione@grandhoteldelmare.it;http://www.grandhoteldelmare.it;IM61;68;131;0;15;1]                                                             ##
BORDIGHERA;IMPERIA;Liguria;Residenze turistico alberghiere;2STELLE;BAIA LA RUOTA;VIA MADONNA DELLA RUOTA, 34;18012;BORDIGHERA;;0184 260098;0184 267608;info@vacanzeresidence.it;;20106019;23;29;43;16;1]                                                                                                 ##
BORDIGHERA;IMPERIA;Liguria;Residenze turistico alberghiere;2STELLE;DEI FIORI;VIA ARZIGLIA, 38;18012;BORDIGHERA;;0184 262287;0184 262288;info@residencedeifiori.org;http://www.residencedeifiori.org;2002143;14;25;12;17;1]                                                                               ##
BORDIGHERA;IMPERIA;Liguria;Residenze turistico alberghiere;2STELLE;LAURA;VIA DEGLI AMICI, 19;18012;BORDIGHERA;;0184 290721;0184 255700;info@servizialberghierionline.it;http://www.servizialberghierionline.it;2006139;48;48;92;12;1]                                                                    ##
BORDIGHERA;IMPERIA;Liguria;Residenze turistico alberghiere;2STELLE;VILLA VIRGINIA;VIA ROMANA, 55;18012;BORDIGHERA;;0184 260447;0184 260447;info@villavirginia.net;http://www.villavirginia.net;200353;9;18;6;11;1]                                                                                       ##
BORGOMARO;IMPERIA;Liguria;Alberghi diffusi;3STELLE;RELAIS DEL MARO;VIA AMBROGIO GUGLIERI, 1;;;;;;relais@relaisdelmaro.it;www.relaisdelmaro.it;20116100;14;29;;19;1]                                                                                                                                      ##
CAMPOROSSO;IMPERIA;Liguria;Alberghi;2STELLE;DEL PONTE;VIA DELLA REPUBBLICA, 102;18033;CAMPOROSSO;;0184 286079;0184 286079;hoteldasilvana@libero.it;http://www.hoteldelponte.net;IM502;8;15;0;20;1]                                                                                                       ##
CASTELLARO;IMPERIA;Liguria;Alberghi;4STELLE;CASTELLARO GOLF RESORT;VIA PER I PIANI, 1;18011;CASTELLARO;;0184 43718;0184 1956372;reservation@castellarogolf.it;http://www.castellarogolf.it;200673;64;126;0;20;1]                                                                                         ##
CASTEL VITTORIO;IMPERIA;Liguria;Alberghi;2STELLE;TERME;LOCALITA' MADONNA ASSUNTA;18030;CASTEL VITTORIO;MADONNA ASSUNTA;0184 241046;0184 241046;loclama@gmail.com;;IM464;13;24;0;12;1]                                                                                                                    ##
CERIANA;IMPERIA;Liguria;Locande;2STELLE;VECCHIA FATTORIA;STRADA PROVINCIALE SUD, 101;18034;CERIANA;;0184 551742;0184 551742;info@ristorantevecchiafattoria.com;;2000135;4;8;0;14;1]                                                                                                                      ##
CERVO;IMPERIA;Liguria;Alberghi;2STELLE;LE NEREIDI;VIA ALLA FOCE, 21;18010;CERVO;;0183 400982;0183 400982;lenereidihotel@hotmail.it;http://hotellenereidi.it;IM424;7;12;1;19;1]                                                                                                                           ##
CERVO;IMPERIA;Liguria;Locande;3STELLE;BELLAVISTA;PIAZZA CASTELLO, 2;18020;CERVO;;0183 408094;0183 408094;bellavistacervo@infinito.it;http://www.bellavistacervo.com;200686;6;11;0;17;1]                                                                                                                  ##
DIANO ARENTINO;IMPERIA;Liguria;Locande;2STELLE;PANORAMA DIANESE;VIA SAN BERNARDO, 4;18013;DIANO ARENTINO;EVIGNO;0183 43030;0183 43030;joseg@libero.it;;2001163;4;8;2;15;1]                                                                                                                               ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;1STELLA;FRA DIAVOLO;CORSO GARIBALDI, 1;18013;DIANO MARINA;;0183 754319;;fradiavolodianomarina@gmail.com;;IM321;8;15;0;14;1]                                                                                                                                        ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;1STELLA;LORENZA SUL MARE - CASA MADRE;VIALE TORINO, 14;18013;DIANO MARINA;;0183 498500;0183 498500;info@lorenzasulmare.it;http://www.lorenzasulmare.it;IM504;21;46;4;17;1]                                                                                         ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;1STELLA;LORENZA SUL MARE - DIPENDENZA;VIA G.L. MARTINO, 34;18013;DIANO MARINA;;0183 498500;0183 498500;info@lorenzasulmare.it;http://www.lorenzasulmare.it;19992805;7;14;2;15;1]                                                                                   ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;1STELLA;PALM BEACH;VIA XX SETTEMBRE, 6;18013;DIANO MARINA;;0183 407545;0183 495284;info@residencepalmbeach.it;http://www.residencepalmbeach.it;IM296;20;39;10;16;1]                                                                                                ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;1STELLA;ROMA - CASA MADRE;VIA CASCIONE, 13;18013;DIANO MARINA;;0183 495474;0183 495475;info@hotelromadianomarina.it;http://www.hotelromadianomarina.com;IM367;15;24;1;17;1]                                                                                        ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;1STELLA;VILLA ANNA;VIA AGNESE, 21;18013;DIANO MARINA;;0183 495505;0183 495505;annemariepizzo@libero.it;;IM336;11;20;0;10;1]                                                                                                                                        ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;2STELLE;AL SOGNO;LARGO CAMBIASO, 3;18013;DIANO MARINA;;0183 495620;0183 495620;info@hotelalsogno.it;;IM498;26;36;0;15;1]                                                                                                                                           ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;2STELLE;CANDIDO;VIA GENERALE ARDOINO, 198;18013;DIANO MARINA;;0183 405757;0183 401789;info@hotelcandido.com;http://www.hotelcandido.com;IM341;16;32;0;10;1]                                                                                                        ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;2STELLE;IL CAMINETTO;VIA OLANDA, 1;18013;DIANO MARINA;;0183 494700;0183 407948;info@ilcaminettodianomarina.it;http://www.ilcaminettodianomarina.it;IM325;7;14;2;15;1]                                                                                              ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;2STELLE;JOLANDA;STRADA COMUNALE CALDERINA, 19;18013;DIANO MARINA;DIANO CALDERINA;0183 496983;0183 496983;jolandacalderina@yahoo.it;;IM382;13;26;0;14;1]                                                                                                            ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;2STELLE;LA MARGHERITA;VIA SAN GIACOMO, 3;18013;DIANO MARINA;DIANO CALDERINA;0183 495185;0183 407529;info@hotellamargherita.com;http://www.hotellamargherita.com;IM494;10;16;0;15;1]                                                                                ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;2STELLE;PARADISO;CORSO GARIBALDI, 12;18013;DIANO MARINA;;0183 495257;0183 497799;info@hotelparadisodiano.com;http://www.hotelparadisodiano.com;IM297;48;85;5;11;1]                                                                                                 ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;2STELLE;PRINCIPE DECURTIS;CORSO GARIBALDI, 3;18013;DIANO MARINA;;0183 494976;0183 494976;ristorante.decurtis@gmail.com;;IM317;11;19;0;13;1]                                                                                                                        ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;2STELLE;SMERALDO - CASA MADRE;CORSO ROMA, 280;18013;DIANO MARINA;;0183 497289;0183 497289;danielasmeraldo2014@libero.it;;IM373;7;13;0;20;1]                                                                                                                        ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;2STELLE;TINA;VIALE TORINO, 22;18013;DIANO MARINA;;0183 494145;0183 683737;info@hoteltina.com;http://www.hoteltina.com;IM335;11;20;0;16;1]                                                                                                                          ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;ARC EN CIEL;VIA TORINO, 39;18013;DIANO MARINA;;0183 495283;0183 496930;info@hotelarcenciel.it;http://www.hotelarcenciel.it;IM271;49;88;6;10;1]                                                                                                             ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;ASTRA;VIA FABIO FILZI, 44;18013;DIANO MARINA;;0183 497011;0183 497168;info@astrahotel.it;http://www.astrahotel.it;IM272;48;90;0;10;1]                                                                                                                      ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;BAIA BIANCA;PIAZZA MAZZINI, 3;18013;DIANO MARINA;;0183 495167;0183 495452;info@hotelbaiabianca.com;http://www.hotelbaiabianca.com/;IM273;54;91;3;16;1]                                                                                                     ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;CAPRI;VIA DEI GAROFANI, 6;18013;DIANO MARINA;;0183 403533;0183 408670;info@hotelcapridiano.com;http://www.hotelcapridiano.com;IM319;25;47;3;17;1]                                                                                                          ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;CORALLO;VIA DEI GIGLI, 5;18013;DIANO MARINA;;0183 402607;0183 404503;info@corallohotel.it;http://www.corallohotel.it;IM277;49;91;3;18;1]                                                                                                                   ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;DELLE MIMOSE;VIA FABIO FILZI, 33;18013;DIANO MARINA;;0183 497100;0183 495905;info@hoteldellemimose.com;http://www.hoteldellemimose.com/;IM280;36;70;5;17;1]                                                                                                ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;GABRIELLA;VIA DEI GERANI, 9;18013;DIANO MARINA;;0183 403131;0183 405055;info@hotelgabriella.it;http://www.hotelgabriella.it;IM284;50;99;31;20;1]                                                                                                           ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;GOLFO E PALME;VIALE TORINO, 21;18013;DIANO MARINA;;0183 495096;0183 494304;info@hotelgolfoepalme.it;http://www.hotelgolfoepalme.it;IM285;41;77;2;13;1]                                                                                                     ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;HELIOS;VIA LA FIORITA, 9;18013;DIANO MARINA;;0183 405566;0183 406264;helios@corallohotel.it;http://www.hotelhelios.net;IM331;33;61;0;15;1]                                                                                                                 ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;IVA - CASA MADRE;VIA SANT'ELMO, 2;18013;DIANO MARINA;;0183 407070;0183 407071;info@hoteliva.it;http://www.hoteliva.it;IM903;30;59;1;12;1]                                                                                                                  ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;JASMIN;VIALE TORINO, 15;18013;DIANO MARINA;;0183 495300;0183 495964;info@hoteljasmin.com;http://www.hoteljasmin.com/;IM287;30;57;0;20;1]                                                                                                                   ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;LA BAIA;VIA DEGLI OLEANDRI, 36;18013;DIANO MARINA;;0183 404515;0183 405503;info@hotellabaia.it;http://www.hotellabaia.it;IM380;27;51;0;19;1]                                                                                                               ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;LILIANA - CASA MADRE;STRADA SERRETA-IMPERIA;18013;DIANO MARINA;DIANO SERRETA;0183 494743;0183 497403;info@hotel-liliana.com;http://www.hotel-liliana.com;IM384;41;82;5;20;1]                                                                               ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;MEDITERRANEO;VIA DEI GIGLI, 9;18013;DIANO MARINA;;0183 405936;0183 405936;info@residencemediterraneo.net;http://www.residencemediterraneo.net;IM302;24;45;3;13;1]                                                                                          ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;MIRAMARE;VIA XX SETTEMBRE, 12;18013;DIANO MARINA;;0183 495084;0183 497779;info@hotelmiramarediano.it;http://www.hotelmiramarediano.it;IM290;26;48;1;20;1]                                                                                                  ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;MORCHIO;VIALE MATTEOTTI, 32;18013;DIANO MARINA;;0183 494694;0183 494695;info@hotelmorchio.it;http://www.hotelmorchio.it/;IM291;14;25;0;11;1]                                                                                                               ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;MORESCO;VIA SANT`ELMO, 21;18013;DIANO MARINA;;0183 494042;0183 494043;info@hotelmoresco.info;http://www.hotelmoresco.info;IM292;40;73;14;11;1]                                                                                                             ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;NETTUNO;VIA SANT'ELMO, 14;18013;DIANO MARINA;;0183 407120;0183 407010;info@hnettuno.it;http://www.hnettuno.it/;IM294;19;24;1;16;1]                                                                                                                         ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;OLYMPIC;PIAZZA MAZZINI, 10;18013;DIANO MARINA;;0183 497666;0183 495485;info@hotelolympic.it;http://www.hotelolympic.it;IM332;48;90;0;18;1]                                                                                                                 ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;PALACE;VIALE TORINO, 2;18013;DIANO MARINA;;0183 495479;0183 496123;info@palacediano.it;http://www.palacediano.it/;IM295;46;86;6;15;1]                                                                                                                      ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;PICCOLO HOTEL;VIA SANT'ELMO, 10;18013;DIANO MARINA;;0183 407022;0183 407222;info@piccolohotel-dianomarina.com;http://www.piccolohotel-dianomarina.com;IM298;34;68;3;15;1]                                                                                  ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;RAFFY;VIA GENERALE ARDOINO, 134;18013;DIANO MARINA;;0183 405588;0183 405693;raffy@corallohotel.it;http://www.corallohotel.it/raffy/ita/hotel.htm;IM299;47;88;26;12;1]                                                                                      ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;RIVIERA;VIALE TORINO, 8;18013;DIANO MARINA;;0183 495888;0183 498538;info@dianoriviera.it;http://www.dianoriviera.it;IM300;31;60;8;14;1]                                                                                                                    ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;SASSO;VIA BIANCHERI, 17;18013;DIANO MARINA;;0183 494319;0183 494310;info@hotelsassoresidence.com;http://www.hotelsassoresidence.com/;IM303;53;87;41;16;1]                                                                                                  ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;SILVANO;VIA GENERALE ARDOINO, 73;18013;DIANO MARINA;;0183 403014;0183 402720;info@hotelsilvano.net;http://www.hotelsilvano.net;IM304;48;90;15;16;1]                                                                                                        ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;SOLE;VIALE KENNEDY, 123;18013;DIANO MARINA;;0183 405544;0183 496127;hotel-sole@libero.it;http://www.hotelsole-diano.it/;IM306;29;46;2;15;1]                                                                                                                ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;SPLENDID - CASA MADRE;VIA SAUSETTE, 8;18013;DIANO MARINA;;0183 403032;0183 403021;info@hotel-splendid.it;http://www.hotel-splendid.it/;IM307;62;115;4;16;1]                                                                                                ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;ULIVO;VIA AURELIA, 19;18013;DIANO MARINA;;0183 407066;0183 407034;info@hotelulivo.net;http://www.hotelulivo.net;IM357;36;70;0;15;1]                                                                                                                        ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;VILLA DEGLI ARANCI;VIA CAPOCACCIA, 8;18013;DIANO MARINA;;0183 497304;0183 497047;info@villaranci.it;http://www.villaranci.com;IM376;14;19;1;10;1]                                                                                                          ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;VILLA GIOIOSA;VIA G.L. MARTINO, 4;18013;DIANO MARINA;;0183 407307;0183 499087;info@villagioiosadianomarina.it;;IM311;53;102;15;11;1]                                                                                                                       ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;VILLA IGEA;VIA SANT'ELMO, 1;18013;DIANO MARINA;;0183 495100;0183 494107;info@hotelvillaigea.com;http://www.hotelvillaigea.com;IM312;48;84;12;14;1]                                                                                                         ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;3STELLE;VIRGINIA;VIA VILLENUOVE, 6;18013;DIANO MARINA;;0183 404735;0183 405088;info@virginiahotel.it;http://www.virginiahotel.it;IM315;24;48;0;15;1]                                                                                                               ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;4STELLE;BELLEVUE ET MEDITERRANEE;VIA GENERALE ARDOINO, 2/4;18013;DIANO MARINA;;0183 4093;0183 409385;postmaster@bellevueetmediterranee.it;http://www.bellevueetmediterranee.it/;IM270;78;146;4;16;1]                                                               ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;4STELLE;CARAVELLE;VIA SAUSETTE, 34;18013;DIANO MARINA;;0183 405311;0183 405657;info@hotelcaravelle.it;http://www.hotelcaravelle.it;IM275;51;101;18;15;1]                                                                                                           ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;4STELLE;EDEN PARK;VIA GENERALE ARDOINO, 70;18013;DIANO MARINA;;0183 403767;0183 405268;info@edenparkdiano.it;http://www.edenparkdiano.it/;IM283;33;55;12;17;1]                                                                                                     ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;4STELLE;GRAND HOTEL DIANA MAJESTIC;VIA OLEANDRI, 15;18013;DIANO MARINA;;0183 402727;0183 403040;info@dianamajestic.com;http://www.dianamajestic.com;IM281;86;168;0;14;1]                                                                                           ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;4STELLE;METROPOL;VIA DIVINA PROVVIDENZA, 2;18013;DIANO MARINA;;0183 495545;0183 495546;info@hotelmetropol.com;http://www.hotelmetropol.com;IM289;57;107;13;10;1]                                                                                                   ##
DIANO MARINA;IMPERIA;Liguria;Alberghi;4STELLE;TORINO;VIA MILANO, 72;18013;DIANO MARINA;;0183 495106;0183 493602;info@hoteltorinodiano.it;http://www.hoteltorinodiano.it;IM310;80;155;10;18;1]                                                                                                            ##
DIANO MARINA;IMPERIA;Liguria;Residenze turistico alberghiere;2STELLE;VILLA MARINA APARTMENTS;VIA GENERALE ARDOINO, 60;18013;DIANO MARINA;;0183 402646;0183 402842;villamarina@villamarina.it;http://www.villamarina.it;IM1000;24;35;29;14;1]                                                             ##
DIANO MARINA;IMPERIA;Liguria;Residenze turistico alberghiere;3STELLE;ELVIRA;STRADA COMUNALE, 47;18013;DIANO MARINA;SERRETA;0183 494759;0183 494750;info@residenceelvira.it;http://www.residenceelvira.it;2005138;8;13;9;14;1]                                                                            ##
DIANO MARINA;IMPERIA;Liguria;Residenze turistico alberghiere;3STELLE;MEDITERRANEO;VIA DEI GAROFANI, 20;18013;DIANO MARINA;;0183 405936;0183 405963;info@residencemediterraneo.net;http://www.residencemediterraneo.net;IM960;30;45;28;10;1]                                                              ##
IMPERIA;IMPERIA;Liguria;Alberghi;1STELLA;AL PORTO - 1^ DIPENDENZA;VIA PRIVATA RAMBALDI, 9/13;18100;IMPERIA;;0183 64967;0183 64967;hotelalporto@email.it;;20105987;7;12;0;13;1]                                                                                                                           ##
IMPERIA;IMPERIA;Liguria;Alberghi;1STELLA;AL PORTO - 2^ DIPENDENZA;VIA PRIVATA RAMBALDI, 9/13;18100;IMPERIA;;0183 64967;0183 64967;hotelalporto@email.it;;IM6;2;4;0;13;1]                                                                                                                                 ##
IMPERIA;IMPERIA;Liguria;Alberghi;1STELLA;AURORA - CASA MADRE;VIA PRIVATA SANT'ANTONIO, 19;18100;IMPERIA;;0183 63945;0183 63945;info@pensionealbergoaurora.it;http://www.pensionealbergoaurora.it;IM17;9;15;2;15;1]                                                                                       ##
IMPERIA;IMPERIA;Liguria;Alberghi;1STELLA;DOLCEDO;VIA DOLCEDO, 172;18100;IMPERIA;;0183 781505;0183 781558;info@albergodolcedo.com;http://www.albergodolcedo.it;2005175;9;13;0;18;1]                                                                                                                       ##
IMPERIA;IMPERIA;Liguria;Alberghi;1STELLA;SAN GIUSEPPE;PIAZZA MONSIGNOR G. MARELLO, 2;18100;IMPERIA;;0183 61547;0183 666308;soggiornomarinosangiuseppe@gmail.com;;IM33;48;88;6;14;1]                                                                                                                      ##
IMPERIA;IMPERIA;Liguria;Alberghi;2STELLE;AL PORTO - CASA MADRE;VIA PRIVATA RAMBALDI, 13;18100;IMPERIA;;0183 64967;0183 64967;hotelalporto@email.it;;IM910;8;16;0;17;1]                                                                                                                                   ##
IMPERIA;IMPERIA;Liguria;Alberghi;2STELLE;COSTA;VIA CASCIONE, 184;18100;IMPERIA;;0183 61348;0183 653487;info@albergocosta.it;http://www.albergocosta.it;IM19;9;17;1;18;1]                                                                                                                                 ##
IMPERIA;IMPERIA;Liguria;Alberghi;2STELLE;ITALIA;VIALE MATTEOTTI, 29;18100;IMPERIA;PORTO MAURIZIO;0183 666523;0183 61867;gazzano.italia@yahoo.it;;IM8;14;25;0;12;1]                                                                                                                                       ##
